run,run,model,policy_class,d,seed,alpha,memory_dim,features_hidden,train_steps,n_envs,lr,gamma,gae_lambda,ent_coef,clip_range,rollout_n_steps,batch_size,vf_coef,max_grad_norm,layout_name,fixed_order,fixed_switch,switch_low,switch_high,episode_len,shaping,shaping_gate,both_success_bonus,wrong_goal_penalty,step_penalty,blocked_penalty,blocked_streak,miss0_penalty,success_ab,success_ba,phase0_rate,phase1_rate,avg_return,avg_phase0_time,avg_phase1_time,wrong_hits_per_ep
20260317-225924_modelM_d32_mem32_layouteasy_orderBA_switch30_seed0_nenv4,20260317-225924_modelM_d32_mem32_layouteasy_orderBA_switch30_seed0_nenv4,M,MemoryLstmPolicy,32,0,0.1,32,128,300000,4,0.0003,0.995,0.95,0.01,0.2,512,256,0.5,0.5,easy,BA,30,,,70,0.02,20.0,6.0,0.01,-0.005,0.02,3,0.0,0.0,0.0,0.0,0.0,-0.7500000000000003,,,0.0
20260317-232829_modelM_d32_mem32_layouteasy_orderBA_switch30_seed1_nenv4,20260317-232829_modelM_d32_mem32_layouteasy_orderBA_switch30_seed1_nenv4,M,MemoryLstmPolicy,32,1,0.1,32,128,300000,4,0.0003,0.995,0.95,0.01,0.2,512,256,0.5,0.5,easy,BA,30,,,70,0.02,20.0,6.0,0.01,-0.005,0.02,3,0.0,0.0,1.0,1.0,1.0,7.499999999999987,12.0,31.0,3.0
20260317-235626_modelM_d32_mem32_layouteasy_orderBA_switch30_seed2_nenv4,20260317-235626_modelM_d32_mem32_layouteasy_orderBA_switch30_seed2_nenv4,M,MemoryLstmPolicy,32,2,0.1,32,128,300000,4,0.0003,0.995,0.95,0.01,0.2,512,256,0.5,0.5,easy,BA,30,,,70,0.02,20.0,6.0,0.01,-0.005,0.02,3,0.0,0.0,0.0,1.0,0.0,1.0500000000000003,12.0,,1.0
20260318-002514_modelM_d32_mem32_layouteasy_orderBA_switch30_seed3_nenv4,20260318-002514_modelM_d32_mem32_layouteasy_orderBA_switch30_seed3_nenv4,M,MemoryLstmPolicy,32,3,0.1,32,128,300000,4,0.0003,0.995,0.95,0.01,0.2,512,256,0.5,0.5,easy,BA,30,,,70,0.02,20.0,6.0,0.01,-0.005,0.02,3,0.0,0.0,1.0,1.0,1.0,7.089999999999988,12.0,31.0,0.0
20260318-005400_modelM_d32_mem32_layouteasy_orderBA_switch30_seed4_nenv4,20260318-005400_modelM_d32_mem32_layouteasy_orderBA_switch30_seed4_nenv4,M,MemoryLstmPolicy,32,4,0.1,32,128,300000,4,0.0003,0.995,0.95,0.01,0.2,512,256,0.5,0.5,easy,BA,30,,,70,0.02,20.0,6.0,0.01,-0.005,0.02,3,0.0,0.0,1.0,1.0,1.0,7.409999999999996,12.0,31.0,0.0
20260318-012321_modelM_d32_mem32_layouteasy_orderBA_switch30_seed5_nenv4,20260318-012321_modelM_d32_mem32_layouteasy_orderBA_switch30_seed5_nenv4,M,MemoryLstmPolicy,32,5,0.1,32,128,300000,4,0.0003,0.995,0.95,0.01,0.2,512,256,0.5,0.5,easy,BA,30,,,70,0.02,20.0,6.0,0.01,-0.005,0.02,3,0.0,0.0,1.0,1.0,1.0,7.4499999999999895,13.0,31.0,4.0
20260318-015246_modelM_d32_mem32_layouteasy_orderBA_switch30_seed6_nenv4,20260318-015246_modelM_d32_mem32_layouteasy_orderBA_switch30_seed6_nenv4,M,MemoryLstmPolicy,32,6,0.1,32,128,300000,4,0.0003,0.995,0.95,0.01,0.2,512,256,0.5,0.5,easy,BA,30,,,70,0.02,20.0,6.0,0.01,-0.005,0.02,3,0.0,0.0,1.0,1.0,1.0,7.569999999999992,12.0,32.0,0.0
20260318-022215_modelM_d32_mem32_layouteasy_orderBA_switch30_seed7_nenv4,20260318-022215_modelM_d32_mem32_layouteasy_orderBA_switch30_seed7_nenv4,M,MemoryLstmPolicy,32,7,0.1,32,128,300000,4,0.0003,0.995,0.95,0.01,0.2,512,256,0.5,0.5,easy,BA,30,,,70,0.02,20.0,6.0,0.01,-0.005,0.02,3,0.0,0.0,0.0,1.0,0.0,0.03000000000000014,12.0,,0.0
20260318-025125_modelM_d32_mem32_layouteasy_orderBA_switch30_seed8_nenv4,20260318-025125_modelM_d32_mem32_layouteasy_orderBA_switch30_seed8_nenv4,M,MemoryLstmPolicy,32,8,0.1,32,128,300000,4,0.0003,0.995,0.95,0.01,0.2,512,256,0.5,0.5,easy,BA,30,,,70,0.02,20.0,6.0,0.01,-0.005,0.02,3,0.0,0.0,0.0,1.0,0.0,1.0100000000000002,12.0,,1.0
20260318-032027_modelM_d32_mem32_layouteasy_orderBA_switch30_seed9_nenv4,20260318-032027_modelM_d32_mem32_layouteasy_orderBA_switch30_seed9_nenv4,M,MemoryLstmPolicy,32,9,0.1,32,128,300000,4,0.0003,0.995,0.95,0.01,0.2,512,256,0.5,0.5,easy,BA,30,,,70,0.02,20.0,6.0,0.01,-0.005,0.02,3,0.0,0.0,1.0,1.0,1.0,7.409999999999993,12.0,31.0,0.0
